0,1,2,3,4,5,6,7,8,9,10
napkins,newspapers,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
yogurt,soda,,,,,,,,,
pip fruit,pastry,,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
chicken,hamburger meat,shopping bags,,,,,,,,
yogurt,newspapers,,,,,,,,,
margarine,yogurt,,,,,,,,,
curd,rice,other vegetables,canned fish,,,,,,,
photo/film,frozen potato products,,,,,,,,,
whole milk,whipped/sour cream,whole milk,yogurt,whipped/sour cream,,,,,,
pip fruit,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
whole milk,other vegetables,ice cream,,,,,,,,
frozen meals,rolls/buns,chocolate,shopping bags,,,,,,,
ham,citrus fruit,,,,,,,,,
whole milk,yogurt,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
other vegetables,flour,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,shopping bags,frozen vegetables,shopping bags,,,,,,,
red/blush wine,canned fish,,,,,,,,,
pot plants,butter milk,margarine,,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
citrus fruit,waffles,,,,,,,,,
other vegetables,butter,,,,,,,,,
frankfurter,domestic eggs,frozen dessert,,,,,,,,
meat,bottled water,abrasive cleaner,,,,,,,,
soda,candy,,,,,,,,,
beverages,whole milk,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
yogurt,frozen dessert,,,,,,,,,
bottled beer,oil,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
citrus fruit,onions,,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
coffee,soft cheese,,,,,,,,,
ice cream,pip fruit,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
photo/film,canned beer,salty snack,curd,curd,whole milk,hygiene articles,,,,
sausage,whole milk,,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
soda,onions,other vegetables,,,,,,,,
onions,abrasive cleaner,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
ham,napkins,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
canned beer,curd,,,,,,,,,
soda,dessert,dishes,sugar,,,,,,,
ice cream,dog food,,,,,,,,,
napkins,whole milk,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
canned beer,brown bread,,,,,,,,,
soda,margarine,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
root vegetables,whole milk,,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
whole milk,roll products ,rice,,,,,,,,
grapes,other vegetables,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
curd,dessert,,,,,,,,,
fish,canned beer,chocolate,,,,,,,,
house keeping products,newspapers,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
beef,beef,margarine,,,,,,,,
candles,chewing gum,,,,,,,,,
oil,soda,,,,,,,,,
berries,salty snack,,,,,,,,,
pork,rolls/buns,roll products ,,,,,,,,
pip fruit,beverages,pastry,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
sausage,frozen vegetables,specialty vegetables,,,,,,,,
whole milk,sweet spreads,pip fruit,bottled water,mustard,,,,,,
curd,soda,whole milk,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
frankfurter,pastry,misc. beverages,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
bottled water,whole milk,citrus fruit,citrus fruit,pickled vegetables,salad dressing,,,,,
UHT-milk,rolls/buns,,,,,,,,,
soda,misc. beverages,,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
processed cheese,yogurt,,,,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
sausage,napkins,curd,,,,,,,,
pastry,baking powder,,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
turkey,root vegetables,,,,,,,,,
beef,root vegetables,,,,,,,,,
chicken,ice cream,bottled water,,,,,,,,
soda,brown bread,rolls/buns,sliced cheese,,,,,,,
rolls/buns,detergent,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
citrus fruit,white bread,processed cheese,,,,,,,,
zwieback,tropical fruit,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
bottled water,newspapers,,,,,,,,,
dessert,butter,,,,,,,,,
frozen vegetables,yogurt,shopping bags,,,,,,,,
canned beer,sugar,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
mayonnaise,processed cheese,,,,,,,,,
meat spreads,bottled beer,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
sausage,pastry,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
yogurt,dessert,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,Instant food products,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pastry,frozen vegetables,,,,,,,,,
herbs,pot plants,cake bar,,,,,,,,
whole milk,yogurt,,,,,,,,,
chicken,pip fruit,,,,,,,,,
tropical fruit,white bread,rolls/buns,,,,,,,,
cat food,domestic eggs,,,,,,,,,
whipped/sour cream,shopping bags,soda,,,,,,,,
candy,frozen meals,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
other vegetables,dessert,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
chicken,flour,,,,,,,,,
beef,margarine,,,,,,,,,
sausage,pork,yogurt,napkins,,,,,,,
pastry,berries,,,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
margarine,bottled water,,,,,,,,,
butter,seasonal products,,,,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
tidbits,whole milk,frozen vegetables,,,,,,,,
sausage,chocolate,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
whole milk,shopping bags,,,,,,,,,
root vegetables,frozen meals,salty snack,,,,,,,,
cat food,butter,,,,,,,,,
citrus fruit,domestic eggs,flour,,,,,,,,
beef,frozen meals,,,,,,,,,
condensed milk,shopping bags,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
canned beer,dessert,,,,,,,,,
tropical fruit,dental care,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
ham,citrus fruit,cling film/bags,,,,,,,,
cat food,rolls/buns,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
waffles,hygiene articles,tea,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
bottled water,beverages,,,,,,,,,
dishes,butter milk,,,,,,,,,
whole milk,sausage,pork,coffee,,,,,,,
pastry,hygiene articles,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
UHT-milk,canned fish,root vegetables,waffles,,,,,,,
hygiene articles,pastry,bottled beer,,,,,,,,
pastry,candy,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
canned beer,yogurt,,,,,,,,,
sausage,pastry,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
root vegetables,margarine,,,,,,,,,
chocolate,brown bread,,,,,,,,,
candy,coffee,,,,,,,,,
root vegetables,soda,hygiene articles,,,,,,,,
chicken,butter milk,,,,,,,,,
hygiene articles,grapes,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
whole milk,berries,,,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
soda,whole milk,brandy,,,,,,,,
frozen dessert,newspapers,,,,,,,,,
root vegetables,citrus fruit,root vegetables,misc. beverages,sliced cheese,packaged fruit/vegetables,yogurt,whipped/sour cream,,,
pork,root vegetables,,,,,,,,,
other vegetables,margarine,,,,,,,,,
frankfurter,brandy,,,,,,,,,
butter milk,napkins,,,,,,,,,
frankfurter,coffee,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
meat,white bread,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
napkins,white bread,,,,,,,,,
frankfurter,margarine,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
soda,misc. beverages,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
frankfurter,citrus fruit,yogurt,frozen vegetables,,,,,,,
waffles,whole milk,shopping bags,flour,shopping bags,,,,,,
whole milk,rolls/buns,,,,,,,,,
margarine,beef,whipped/sour cream,,,,,,,,
chicken,whole milk,,,,,,,,,
yogurt,yogurt,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
soft cheese,spices,,,,,,,,,
pork,napkins,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
domestic eggs,sliced cheese,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
whole milk,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
pork,soft cheese,rolls/buns,butter milk,butter,,,,,,
butter,margarine,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
meat,cling film/bags,whipped/sour cream,,,,,,,,
chicken,white bread,,,,,,,,,
frozen fish,margarine,,,,,,,,,
hard cheese,sugar,,,,,,,,,
root vegetables,coffee,,,,,,,,,
yogurt,long life bakery product,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
pork,dessert,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whipped/sour cream,baking powder,,,,,,,,,
chicken,soups,bottled water,,,,,,,,
tropical fruit,salt,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pot plants,pastry,,,,,,,,,
rolls/buns,oil,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
rolls/buns,canned beer,tropical fruit,chewing gum,margarine,,,,,,
bottled water,shopping bags,,,,,,,,,
yogurt,canned beer,,,,,,,,,
sugar,whole milk,,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
domestic eggs,curd,,,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
whole milk,bottled water,,,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
white bread,salty snack,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
whole milk,pastry,,,,,,,,,
onions,oil,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
citrus fruit,pastry,newspapers,chewing gum,,,,,,,
root vegetables,butter,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
butter,soda,,,,,,,,,
whole milk,white bread,,,,,,,,,
bottled beer,oil,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
bottled water,soda,margarine,candy,,,,,,,
pet care,photo/film,,,,,,,,,
pork,other vegetables,,,,,,,,,
fruit/vegetable juice,cat food,zwieback,frozen dessert,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
ice cream,butter,,,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
whole milk,bottled beer,,,,,,,,,
canned fish,rolls/buns,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,candy,,,,,,,,,
margarine,whole milk,,,,,,,,,
chicken,brown bread,,,,,,,,,
meat,beverages,newspapers,candy,,,,,,,
canned beer,other vegetables,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,canned beer,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
domestic eggs,whole milk,brown bread,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
whole milk,soda,tea,,,,,,,,
berries,bottled beer,beef,whole milk,,,,,,,
fish,newspapers,,,,,,,,,
sausage,yogurt,,,,,,,,,
other vegetables,curd,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
soft cheese,rolls/buns,,,,,,,,,
soda,pastry,,,,,,,,,
sausage,cat food,,,,,,,,,
sausage,pip fruit,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
salty snack,newspapers,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
soda,liquor (appetizer),salty snack,,,,,,,,
pork,whole milk,,,,,,,,,
baking powder,domestic eggs,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
condensed milk,chocolate,,,,,,,,,
sausage,brown bread,meat spreads,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
male cosmetics,curd,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
shopping bags,skin care,,,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
canned beer,syrup,brown bread,rice,,,,,,,
yogurt,citrus fruit,,,,,,,,,
sausage,butter,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
grapes,processed cheese,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,beef,,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
long life bakery product,soap,,,,,,,,,
brown bread,whole milk,shopping bags,,,,,,,,
pork,frozen dessert,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
other vegetables,margarine,,,,,,,,,
frankfurter,cat food,,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
meat,canned beer,,,,,,,,,
brown bread,pot plants,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
whole milk,chocolate,,,,,,,,,
pip fruit,citrus fruit,curd,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ice cream,coffee,,,,,,,,,
chicken,coffee,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
brown bread,curd,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
light bulbs,whole milk,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
whole milk,whole milk,cat food,canned beer,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
ham,tropical fruit,,,,,,,,,
UHT-milk,curd,,,,,,,,,
soda,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
tropical fruit,pork,whole milk,salt,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
root vegetables,whole milk,,,,,,,,,
ham,canned beer,,,,,,,,,
other vegetables,coffee,,,,,,,,,
chocolate,brown bread,salty snack,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
whole milk,waffles,,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
mayonnaise,candy,rolls/buns,bottled beer,,,,,,,
tropical fruit,herbs,,,,,,,,,
pastry,bottled beer,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
processed cheese,specialty bar,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
dessert,whole milk,waffles,,,,,,,,
whole milk,other vegetables,rolls/buns,Instant food products,,,,,,,
tropical fruit,cat food,,,,,,,,,
detergent,soft cheese,,,,,,,,,
shopping bags,flower (seeds),curd cheese,decalcifier,,,,,,,
spices,cat food,seasonal products,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
mustard,yogurt,cat food,bottled beer,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
sausage,whole milk,,,,,,,,,
rolls/buns,herbs,,,,,,,,,
tropical fruit,flour,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
chicken,oil,,,,,,,,,
whole milk,hamburger meat,soft cheese,long life bakery product,margarine,bottled beer,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
herbs,root vegetables,,,,,,,,,
canned beer,dishes,,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
margarine,beverages,,,,,,,,,
tropical fruit,soda,margarine,napkins,,,,,,,
processed cheese,root vegetables,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
meat,root vegetables,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
root vegetables,pet care,,,,,,,,,
grapes,chocolate marshmallow,dishes,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
chicken,nut snack,,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
meat,pot plants,canned vegetables,,,,,,,,
brown bread,bottled water,domestic eggs,,,,,,,,
soda,other vegetables,dishes,,,,,,,,
yogurt,napkins,,,,,,,,,
bottled beer,soda,newspapers,,,,,,,,
other vegetables,frankfurter,rolls/buns,other vegetables,shopping bags,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,chicken,other vegetables,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
cream,yogurt,,,,,,,,,
other vegetables,sugar,,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
turkey,soda,rolls/buns,,,,,,,,
whole milk,dishes,,,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
butter,red/blush wine,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
grapes,whipped/sour cream,soda,,,,,,,,
yogurt,roll products ,,,,,,,,,
fruit/vegetable juice,roll products ,,,,,,,,,
soda,frozen potato products,,,,,,,,,
soda,mayonnaise,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
whole milk,pip fruit,,,,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,butter milk,,,,,,,,,
pastry,roll products ,,,,,,,,,
pork,tropical fruit,,,,,,,,,
pork,mayonnaise,,,,,,,,,
rolls/buns,yogurt,sugar,,,,,,,,
soda,soda,,,,,,,,,
bottled water,chocolate,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
meat,liquor,,,,,,,,,
sausage,salt,,,,,,,,,
sausage,curd,yogurt,,,,,,,,
frankfurter,curd,,,,,,,,,
napkins,chewing gum,,,,,,,,,
whole milk,salty snack,,,,,,,,,
oil,onions,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
frankfurter,other vegetables,sugar,,,,,,,,
soda,tropical fruit,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes,,,,,,
hamburger meat,butter milk,,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
soda,flour,cocoa drinks,,,,,,,,
meat,detergent,canned beer,,,,,,,,
canned beer,specialty bar,,,,,,,,,
whole milk,beef,,,,,,,,,
sausage,whole milk,,,,,,,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
yogurt,yogurt,,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
whole milk,newspapers,,,,,,,,,
shopping bags,tropical fruit,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
rolls/buns,yogurt,domestic eggs,white bread,,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
curd,domestic eggs,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
pork,root vegetables,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
root vegetables,pastry,,,,,,,,,
UHT-milk,specialty cheese,shopping bags,,,,,,,,
tropical fruit,herbs,,,,,,,,,
pork,canned beer,rolls/buns,yogurt,mustard,oil,popcorn,whipped/sour cream,,,
chicken,tropical fruit,,,,,,,,,
pip fruit,roll products ,beverages,whole milk,canned fish,sugar,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
whole milk,bottled water,,,,,,,,,
semi-finished bread,napkins,,,,,,,,,
beef,canned beer,fruit/vegetable juice,,,,,,,,
sausage,domestic eggs,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk,,,,
long life bakery product,brown bread,,,,,,,,,
beef,ice cream,,,,,,,,,
yogurt,pasta,bottled water,,,,,,,,
tropical fruit,tropical fruit,soda,salty snack,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,citrus fruit,yogurt,frankfurter,specialty chocolate,hard cheese,whole milk,canned beer,,,
frankfurter,domestic eggs,,,,,,,,,
whole milk,beverages,,,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
whole milk,soda,yogurt,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
frankfurter,liver loaf,canned vegetables,condensed milk,,,,,,,
sausage,pastry,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
hygiene articles,canned fish,,,,,,,,,
meat,rolls/buns,root vegetables,,,,,,,,
butter,bottled beer,canned beer,chewing gum,fruit/vegetable juice,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
frozen vegetables,root vegetables,,,,,,,,,
beef,condensed milk,specialty chocolate,,,,,,,,
baby cosmetics,bottled water,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
seasonal products,white bread,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
pork,canned beer,specialty bar,,,,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
dessert,spread cheese,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
root vegetables,fruit/vegetable juice,berries,newspapers,chewing gum,,,,,,
margarine,soda,canned fish,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,herbs,rolls/buns,cake bar,,,,,,,
photo/film,other vegetables,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
pork,soda,,,,,,,,,
whole milk,pastry,seasonal products,berries,long life bakery product,yogurt,coffee,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
canned beer,newspapers,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
frozen meals,frozen meals,,,,,,,,,
chicken,whole milk,margarine,soda,,,,,,,
beef,whole milk,,,,,,,,,
citrus fruit,pastry,candy,softener,,,,,,,
other vegetables,yogurt,other vegetables,flour,,,,,,,
onions,pip fruit,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
pork,pastry,,,,,,,,,
other vegetables,pip fruit,UHT-milk,herbs,,,,,,,
beverages,soda,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
canned beer,brown bread,,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
UHT-milk,beverages,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
waffles,yogurt,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
yogurt,pot plants,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
canned beer,brown bread,,,,,,,,,
citrus fruit,soda,,,,,,,,,
butter milk,cleaner,bottled water,,,,,,,,
citrus fruit,citrus fruit,bottled water,pastry,,,,,,,
mustard,flour,,,,,,,,,
pastry,waffles,,,,,,,,,
sausage,curd,margarine,,,,,,,,
tropical fruit,sugar,,,,,,,,,
tropical fruit,candy,,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,flour,berries,,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
canned beer,citrus fruit,rolls/buns,condensed milk,skin care,,,,,,
chocolate,root vegetables,,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
root vegetables,margarine,,,,,,,,,
jam,cream cheese ,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
frozen dessert,citrus fruit,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
coffee,sliced cheese,whipped/sour cream,butter milk,,,,,,,
ice cream,oil,,,,,,,,,
rolls/buns,dog food,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
rolls/buns,male cosmetics,liquor (appetizer),,,,,,,,
pastry,candles,,,,,,,,,
soda,beef,bottled beer,soda,,,,,,,
whole milk,brown bread,,,,,,,,,
canned beer,white bread,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
beef,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
